zone_id,model_mape_pct,baseline_mape_pct,improvement_pct,cv_mape_mean,cv_mape_std,cv_folds,test_samples,mape_improvement
Z01,6.58,8.44,1.86,3.0,0.42,"[np.float64(3.1), np.float64(2.53), np.float64(2.5), np.float64(3.36), np.float64(3.52)]",432,1.8599999999999994
Z02,5.25,11.24,5.99,5.71,0.69,"[np.float64(6.78), np.float64(5.64), np.float64(6.13), np.float64(5.17), np.float64(4.82)]",432,5.99
Z03,3.56,7.58,4.01,2.85,0.83,"[np.float64(1.99), np.float64(3.37), np.float64(3.52), np.float64(1.69), np.float64(3.67)]",432,4.02
Z04,2.18,2.56,0.38,0.41,0.16,"[np.float64(0.29), np.float64(0.35), np.float64(0.24), np.float64(0.54), np.float64(0.65)]",432,0.3799999999999999
Z05,3.06,6.11,3.05,1.67,0.32,"[np.float64(1.64), np.float64(1.7), np.float64(1.3), np.float64(1.45), np.float64(2.25)]",432,3.0500000000000003
Z06,6.9,8.55,1.65,3.17,1.14,"[np.float64(2.1), np.float64(3.51), np.float64(2.42), np.float64(2.57), np.float64(5.24)]",432,1.6500000000000004
Z07,2.3,4.27,1.97,1.19,0.49,"[np.float64(1.26), np.float64(0.98), np.float64(0.61), np.float64(1.01), np.float64(2.08)]",432,1.9699999999999998
Z08,2.37,2.62,0.26,0.46,0.22,"[np.float64(0.37), np.float64(0.28), np.float64(0.23), np.float64(0.64), np.float64(0.8)]",432,0.25
